"","county","pop","fip"
"1","Brevard County",535641,"12009"
"2","Charlotte County",156966,"12015"
"3","Alachua County",233416,"12001"
"4","Bay County",165035,"12005"
"5","Bradford County",24028,"12007"
"6","Broward County",1731174,"12011"
"7","DeSoto County",31064,"12027"
"8","Baker County",24771,"12003"
"9","Calhoun County",12734,"12013"
"10","Citrus County",138985,"12017"
"11","Clay County",189614,"12019"
"12","Collier County",316974,"12021"
"13","Dixie County",14992,"12029"
"14","Columbia County",62925,"12023"
"15","Gilchrist County",15811,"12041"
"16","Duval County",844278,"12031"
"17","Escambia County",279660,"12033"
"18","Flagler County",95012,"12035"
"19","Franklin County",9721,"12037"
"20","Gadsden County",44228,"12039"
"21","Hillsborough County",1207161,"12057"
"22","Glades County",11401,"12043"
"23","Gulf County",12413,"12045"
"24","Hamilton County",11735,"12047"
"25","Hardee County",25747,"12049"
"26","Hendry County",37198,"12051"
"27","Hernando County",170950,"12053"
"28","Highlands County",97053,"12055"
"29","Lake County",293065,"12069"
"30","Jefferson County",13422,"12065"
"31","Lafayette County",6776,"12067"
"32","Holmes County",18195,"12059"
"33","Indian River County",136234,"12061"
"34","Jackson County",41752,"12063"
"35","Martin County",142385,"12085"
"36","Lee County",610266,"12071"
"37","Leon County",260493,"12073"
"38","Levy County",40166,"12075"
"39","Liberty County",6483,"12077"
"40","Madison County",17291,"12079"
"41","Manatee County",318016,"12081"
"42","Marion County",323059,"12083"
"43","Pasco County",459023,"12101"
"44","Miami-Dade County",2456378,"12086"
"45","Monroe County",71070,"12087"
"46","Nassau County",72771,"12089"
"47","Osceola County",265423,"12097"
"48","Palm Beach County",1300162,"12099"
"49","Okaloosa County",175939,"12091"
"50","Okeechobee County",37493,"12093"
"51","Orange County",1112252,"12095"
"52","Seminole County",419203,"12117"
"53","Pinellas County",896864,"12103"
"54","Polk County",589834,"12105"
"55","Putnam County",72957,"12107"
"56","St. Johns County",187241,"12109"
"57","St. Lucie County",274736,"12111"
"58","Santa Rosa County",147128,"12113"
"59","Sarasota County",373826,"12115"
"60","Wakulla County",27348,"12129"
"61","Sumter County",84468,"12119"
"62","Suwannee County",40158,"12121"
"63","Taylor County",19316,"12123"
"64","Union County",10757,"12125"
"65","Volusia County",481784,"12127"
"66","Walton County",52978,"12131"
"67","Washington County",22202,"12133"
